index,fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
9710,titles04/index.html.1700,tt0053488,Mein Name ist Hase (TV Series 1960–1975),mein name ist hase tv series,http://www.imdb.com/title/tt0053488/,8.6,8568.0,1800.0,1975.0,video.tv,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8673,titles04/index.html.12967,tt1754648,The Lamp (2011),the lamp,http://www.imdb.com/title/tt1754648/,5.5,213.0,5760.0,2011.0,video.movie,0,0,6,0,6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9053,titles04/index.html.13654,tt2125640,The 69th Annual Golden Globe Awards (2012),the th annual golden globe awards,http://www.imdb.com/title/tt2125640/,7.1,277.0,,2012.0,video.tv,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8205,titles04/index.html.12215,tt1464174,Big Mama's Haus - Die doppelte Portion (2011),big mama s haus die doppelte portion,http://www.imdb.com/title/tt1464174/,4.2,15339.0,6420.0,2011.0,video.movie,0,0,8,29,46,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13178,titles04/index.html.7247,tt0264813,Lulu in Berlin (1984),lulu in berlin,http://www.imdb.com/title/tt0264813/,7.2,66.0,3000.0,1984.0,video.movie,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14455,titles04/index.html.9439,tt0466460,Khosla Ka Ghosla! (2006),khosla ka ghosla,http://www.imdb.com/title/tt0466460/,8.3,7010.0,8100.0,2006.0,video.movie,0,0,0,0,34,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,titles02/index.html.5149,tt0810988,The Nines (2007),the nines,http://www.imdb.com/title/tt0810988/,6.5,26015.0,6000.0,2007.0,video.movie,0,0,28,92,124,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13746,titles04/index.html.8198,tt0358273,Walk the Line (2005),walk the line,http://www.imdb.com/title/tt0358273/,7.9,160209.0,8160.0,2005.0,video.movie,36,30,389,1608,794,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13879,titles04/index.html.8412,tt0373450,Wahre Lügen (2005),wahre l gen,http://www.imdb.com/title/tt0373450/,6.6,13355.0,6420.0,2005.0,video.movie,2,10,62,67,124,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1972,titles03/index.html.1183,tt0063568,Se incontri Sartana prega per la tua morte (1968),se incontri sartana prega per la tua morte,http://www.imdb.com/title/tt0063568/,6.6,495.0,5700.0,1968.0,video.movie,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7493,titles04/index.html.11030,tt1031280,Splinter (2008),splinter,http://www.imdb.com/title/tt1031280/,6.1,22344.0,4920.0,2008.0,video.movie,7,1,12,183,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10031,titles04/index.html.2248,tt0061796,Morgen ist ein neuer Tag (1967),morgen ist ein neuer tag,http://www.imdb.com/title/tt0061796/,5.6,596.0,8760.0,1967.0,video.movie,2,0,2,11,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14664,titles04/index.html.9797,tt0550453,Crime Story The War (TV Episode 1986),crime story the war tv episode,http://www.imdb.com/title/tt0550453/,8.2,26.0,2700.0,1986.0,video.episode,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1947,titles03/index.html.1150,tt0062407,Zwei auf Gleichem Weg (1967),zwei auf gleichem weg,http://www.imdb.com/title/tt0062407/,7.6,6942.0,6660.0,1967.0,video.movie,4,4,20,50,86,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10641,titles04/index.html.3186,tt0077573,The Foreigner (1978),the foreigner,http://www.imdb.com/title/tt0077573/,5.1,142.0,4620.0,1978.0,video.movie,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5674,titles03/index.html.5823,tt1539852,Psych A Very Juliet Episode (TV Episode 2010),psych a very juliet episode tv episode,http://www.imdb.com/title/tt1539852/,8.4,270.0,3600.0,2010.0,video.episode,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12443,titles04/index.html.6133,tt0134618,Mystery - New York: Ein Spiel um die Ehre (1999),mystery new york ein spiel um die ehre,http://www.imdb.com/title/tt0134618/,6.6,20197.0,7140.0,1999.0,video.movie,0,0,31,21,120,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6093,titles03/index.html.627,tt0045554,"Willkommen, Mr. Marshall (1953)",willkommen mr marshall,http://www.imdb.com/title/tt0045554/,8.2,2004.0,4680.0,1953.0,video.movie,4,1,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5034,titles03/index.html.506,tt0041313,Seemannslos (1949),seemannslos,http://www.imdb.com/title/tt0041313/,7.4,450.0,7200.0,1949.0,video.movie,0,0,0,0,19,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4223,titles03/index.html.4118,tt0418982,Offscreen (2006),offscreen,http://www.imdb.com/title/tt0418982/,6.5,562.0,5580.0,2006.0,video.movie,4,6,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13010,titles04/index.html.6968,tt0240278,Die verlorene Welt (TV Series 1999–2002),die verlorene welt tv series,http://www.imdb.com/title/tt0240278/,7.2,1875.0,3600.0,1999.0,video.tv,1,0,2,6,37,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11875,titles04/index.html.5181,tt0110365,Little Odessa - Eiskalt wie der Tod (1994),little odessa eiskalt wie der tod,http://www.imdb.com/title/tt0110365/,6.8,4818.0,5880.0,1994.0,video.movie,3,6,11,43,38,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11463,titles04/index.html.4548,tt0099797,The hot Spot - Spiel mit dem Feuer (1990),the hot spot spiel mit dem feuer,http://www.imdb.com/title/tt0099797/,6.4,6805.0,7800.0,1990.0,video.movie,0,0,6,21,63,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4468,titles03/index.html.4444,tt0481536,Harold & Kumar - Flucht aus Guantanamo (2008),harold kumar flucht aus guantanamo,http://www.imdb.com/title/tt0481536/,6.7,96659.0,6840.0,2008.0,video.movie,1,1,61,17,162,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9254,titles04/index.html.14006,tt2384868,Aqua Teen Hunger Force The Granite Family (TV Episode 2012),aqua teen hunger force the granite family tv episode,http://www.imdb.com/title/tt2384868/,7.6,16.0,900.0,2012.0,video.episode,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2853,titles03/index.html.237,tt0029844,Toms Abenteuer (1938),toms abenteuer,http://www.imdb.com/title/tt0029844/,7.2,991.0,5460.0,1938.0,video.movie,1,1,6,35,17,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12509,titles04/index.html.6234,tt0146455,Babylon 5: Waffenbrüder (TV Movie 1999),babylon waffenbr der tv movie,http://www.imdb.com/title/tt0146455/,7.1,3360.0,5640.0,1999.0,video.movie,0,0,8,0,20,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7632,titles04/index.html.11266,tt1119199,Superman ieotdeon sanai (2008),superman ieotdeon sanai,http://www.imdb.com/title/tt1119199/,7.5,1069.0,6120.0,2008.0,video.movie,0,0,0,0,9,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4627,titles03/index.html.461,tt0040160,Spiel mit dem Tode (1948),spiel mit dem tode,http://www.imdb.com/title/tt0040160/,7.7,4201.0,5700.0,1948.0,video.movie,0,0,7,12,59,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9192,titles04/index.html.139,tt0017075,Der Mieter (1927),der mieter,http://www.imdb.com/title/tt0017075/,7.4,5377.0,4080.0,1927.0,video.movie,0,0,22,48,74,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
235,titles01/tt1345836,tt1345836,The Dark Knight Rises (2012),the dark knight rises,http://www.imdb.com/title/tt1345836/,8.6,758626.0,9900.0,2012.0,video.movie,28,64,131,22240,2576,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2591,titles03/index.html.2008,tt0094540,Roseanne (TV Series 1988–1997),roseanne tv series,http://www.imdb.com/title/tt0094540/,6.9,21542.0,1320.0,1988.0,video.tv,41,83,62,853,112,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3700,titles03/index.html.344,tt0035966,Hangmen Also Die! (1943),hangmen also die,http://www.imdb.com/title/tt0035966/,7.6,2274.0,8040.0,1943.0,video.movie,2,0,8,0,45,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14293,titles04/index.html.9136,tt0437758,The Tyra Banks Show (TV Series 2005–2011),the tyra banks show tv series,http://www.imdb.com/title/tt0437758/,4.1,1142.0,3600.0,2005.0,video.tv,7,19,15,171,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3088,titles03/index.html.2672,tt0119250,Hana-bi - Feuerblume (1997),hana bi feuerblume,http://www.imdb.com/title/tt0119250/,7.9,18227.0,6180.0,1997.0,video.movie,22,16,14,32,105,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9963,titles04/index.html.2140,tt0060218,Der Schatten des Giganten (1966),der schatten des giganten,http://www.imdb.com/title/tt0060218/,6.4,1675.0,8760.0,1966.0,video.movie,0,0,8,7,35,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3698,titles03/index.html.3438,tt0288276,Eine ganz private Affäre (2002),eine ganz private aff re,http://www.imdb.com/title/tt0288276/,6.4,617.0,6420.0,2002.0,video.movie,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
826,titles02/index.html.2737,tt0986233,Hunger (2008),hunger,http://www.imdb.com/title/tt0986233/,7.6,36844.0,5760.0,2008.0,video.movie,36,22,14,1313,121,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,titles01/tt0095016,tt0095016,Stirb langsam (1988),stirb langsam,http://www.imdb.com/title/tt0095016/,8.3,431906.0,7860.0,1988.0,video.movie,6,2,63,2360,667,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,titles01/tt0049406,tt0049406,Killing (1956),killing,http://www.imdb.com/title/tt0049406/,8.1,47740.0,5100.0,1956.0,video.movie,0,0,21,59,304,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14359,titles04/index.html.9251,tt0450314,Punisher: War Zone (2008),punisher war zone,http://www.imdb.com/title/tt0450314/,6.0,39236.0,6180.0,2008.0,video.movie,1,1,37,717,265,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,titles02/index.html.2209,tt0119396,Jackie Brown (1997),jackie brown,http://www.imdb.com/title/tt0119396/,7.5,185138.0,9240.0,1997.0,video.movie,7,12,101,832,422,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5882,titles03/index.html.6050,tt1715700,White Collar Countermeasures (TV Episode 2011),white collar countermeasures tv episode,http://www.imdb.com/title/tt1715700/,8.0,227.0,2520.0,2011.0,video.episode,0,0,3,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,titles02/index.html.5625,tt0076734,Soldaat van Oranje (1977),soldaat van oranje,http://www.imdb.com/title/tt0076734/,7.8,7877.0,9120.0,1977.0,video.movie,2,0,9,19,42,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3857,titles03/index.html.3657,tt0338066,Girls Gone Wild on Campus 2 (Video 2003),girls gone wild on campus video,http://www.imdb.com/title/tt0338066/,6.3,480.0,3000.0,2003.0,video.movie,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7498,titles04/index.html.11052,tt1035511,Weeds: Vermeintliche Vorstadtidylle (TV Movie 2005),weeds vermeintliche vorstadtidylle tv movie,http://www.imdb.com/title/tt1035511/,6.4,12.0,840.0,2005.0,video.movie,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11888,titles04/index.html.5197,tt0110622,Die nackte Kanone 33 1/3 (1994),die nackte kanone,http://www.imdb.com/title/tt0110622/,6.4,61818.0,4980.0,1994.0,video.movie,3,0,29,2,76,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3867,titles03/index.html.3674,tt0339412,Mr 3000 (2004),mr,http://www.imdb.com/title/tt0339412/,5.5,10771.0,6240.0,2004.0,video.movie,1,5,28,13,58,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4027,titles03/index.html.3874,tt0375210,White Noise - Schreie aus dem Jenseits (2005),white noise schreie aus dem jenseits,http://www.imdb.com/title/tt0375210/,5.5,36728.0,6060.0,2005.0,video.movie,1,2,27,148,404,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1171,titles02/index.html.3815,tt0151137,Johanna von Orleans (1999),johanna von orleans,http://www.imdb.com/title/tt0151137/,6.4,48634.0,9480.0,1999.0,video.movie,5,10,97,98,385,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12324,titles04/index.html.591,tt0033038,Das Haus der sieben Sünden (1940),das haus der sieben s nden,http://www.imdb.com/title/tt0033038/,7.0,727.0,5220.0,1940.0,video.movie,0,0,14,0,13,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7796,titles04/index.html.11564,tt1217209,Merida - Legende der Highlands (2012),merida legende der highlands,http://www.imdb.com/title/tt1217209/,7.2,177227.0,5580.0,2012.0,video.movie,15,31,90,1480,396,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4236,titles03/index.html.4144,tt0423977,Charlie Bartlett (2007),charlie bartlett,http://www.imdb.com/title/tt0423977/,7.0,47906.0,5820.0,2007.0,video.movie,1,0,25,132,117,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13607,titles04/index.html.7939,tt0328671,Yeh Hai Jalwa (2002),yeh hai jalwa,http://www.imdb.com/title/tt0328671/,4.5,811.0,9900.0,2002.0,video.movie,0,0,2,5,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9028,titles04/index.html.13612,tt2100976,Impractical Jokers (TV Series 2011– ),impractical jokers tv series,http://www.imdb.com/title/tt2100976/,8.8,5776.0,1800.0,2011.0,video.tv,0,0,16,56,23,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9165,titles04/index.html.13854,tt2278871,Blau ist eine warme Farbe (2013),blau ist eine warme farbe,http://www.imdb.com/title/tt2278871/,7.9,45486.0,10740.0,2013.0,video.movie,69,49,27,1369,177,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3839,titles03/index.html.3634,tt0332047,Ein Mann für eine Saison (2005),ein mann f r eine saison,http://www.imdb.com/title/tt0332047/,6.2,30685.0,6240.0,2005.0,video.movie,0,0,25,167,203,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12601,titles04/index.html.6372,tt0164184,Der Anschlag (2002),der anschlag,http://www.imdb.com/title/tt0164184/,6.4,74676.0,7440.0,2002.0,video.movie,2,4,91,381,559,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8271,titles04/index.html.12320,tt1509767,Die drei Musketiere (2011),die drei musketiere,http://www.imdb.com/title/tt1509767/,5.8,74084.0,6600.0,2011.0,video.movie,0,0,65,1345,235,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10683,titles04/index.html.3254,tt0078908,Die Brut (1979),die brut,http://www.imdb.com/title/tt0078908/,6.9,13920.0,5520.0,1979.0,video.movie,1,5,21,186,109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9831,titles04/index.html.1920,tt0057134,Himmlische Freuden (1963),himmlische freuden,http://www.imdb.com/title/tt0057134/,6.8,749.0,7080.0,1963.0,video.movie,0,0,12,0,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12693,titles04/index.html.6506,tt0178556,Has Anybody Here Seen Canada? A History of Canadian Movies 1939-1953 (TV Movie 1979),has anybody here seen canada a history of canadian movies tv movie,http://www.imdb.com/title/tt0178556/,6.0,42.0,5100.0,1979.0,video.movie,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2173,titles03/index.html.1463,tt0074811,Der Mieter (1976),der mieter,http://www.imdb.com/title/tt0074811/,7.8,21292.0,7560.0,1976.0,video.movie,0,0,7,91,123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12807,titles04/index.html.6663,tt0198386,Second Chance - Alles wird gut (2000),second chance alles wird gut,http://www.imdb.com/title/tt0198386/,5.6,3622.0,5280.0,2000.0,video.movie,0,0,26,4,45,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,titles02/index.html.2180,tt0064276,Easy Rider (1969),easy rider,http://www.imdb.com/title/tt0064276/,7.4,61351.0,5700.0,1969.0,video.movie,10,10,58,698,346,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6351,titles03/index.html.6535,tt2279306,Propaganda (2012),propaganda,http://www.imdb.com/title/tt2279306/,8.1,401.0,5760.0,2012.0,video.movie,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,titles02/index.html.1448,tt0066473,Tora! Tora! Tora! (1970),tora tora tora,http://www.imdb.com/title/tt0066473/,7.5,20804.0,8640.0,1970.0,video.movie,1,7,54,3,146,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14623,titles04/index.html.9718,tt0497316,Adrift in Manhattan (2007),adrift in manhattan,http://www.imdb.com/title/tt0497316/,5.4,1328.0,5460.0,2007.0,video.movie,3,1,7,7,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4825,titles03/index.html.4816,tt0791309,I Want Candy (2007),i want candy,http://www.imdb.com/title/tt0791309/,5.5,6185.0,5220.0,2007.0,video.movie,0,0,2,67,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225,titles03/index.html.1535,tt0077914,Wampyr (1976),wampyr,http://www.imdb.com/title/tt0077914/,7.2,6066.0,5700.0,1976.0,video.movie,0,0,8,182,74,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11056,titles04/index.html.3873,tt0089173,Friday the 13th: A New Beginning (1985),friday the th a new beginning,http://www.imdb.com/title/tt0089173/,4.5,17501.0,5520.0,1985.0,video.movie,0,0,10,77,325,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
14477,titles04/index.html.948,tt0040580,"Musik, Tanz und Rhythmus (1948)",musik tanz und rhythmus,http://www.imdb.com/title/tt0040580/,6.6,2436.0,4320.0,1948.0,video.movie,1,0,12,10,21,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9041,titles04/index.html.13635,tt2112568,Kliniki periptosi (TV Series 2011– ),kliniki periptosi tv series,http://www.imdb.com/title/tt2112568/,7.1,98.0,,2011.0,video.tv,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6489,titles03/index.html.6692,tt2647544,Sleepy Hollow (TV Series 2013– ),sleepy hollow tv series,http://www.imdb.com/title/tt2647544/,7.9,25221.0,2700.0,2013.0,video.tv,0,0,153,511,84,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5278,titles03/index.html.5354,tt1150939,Full Metal Jacket: Between Good and Evil (Video 2007),full metal jacket between good and evil video,http://www.imdb.com/title/tt1150939/,6.9,67.0,1860.0,2007.0,video.movie,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
